Fase,Tarefa,Responsável,Status,Prazo
Atração,"Implementar GA4 + GTM — Registra fonte de tráfego, sessão, páginas visitadas e eventos de comportamento desde o primeiro clique.",,,
Atração,Implementar Meta + TikTok Pixel — Dispara evento PageView e ViewContent para treinar algoritmos de remarketing.,,,
Atração,Implementar Social Snowball — Rastreia cliques em links de embaixadores. Atribui comissão se houver conversão.,,,
Atração,Implementar Hotjar / Clarity — Grava a sessão para análise qualitativa de comportamento no funil.,,,
Pedido,"Implementar Shopify Checkout — Gerencia sessão de carrinho, coleta de dados e cálculo de frete via Melhor Envio API.",,,
Pedido,Implementar Melhor Envio — Retorna opções de frete por CEP com prazo e preço de cada transportadora em tempo real.,,,
Pedido,"Implementar Klaviyo — Se abandono de carrinho detectado após 1h sem conversão, dispara LC6 (sequência de recuperação).",,,
Pedido,Implementar Pipedrive — Webhook cria ou atualiza contato com tag origem:ecommerce e interesse detectado.,,,
Pagamento,Implementar Mercado Pago — Processa transação. Webhook payment.approved dispara para Shopify em tempo real.,,,
Pagamento,Implementar Shopify — Recebe confirmação e muda status para 'Pagamento aprovado'. Aciona webhook order.paid.,,,
Pagamento,Implementar Bling ERP — Recebe order.paid via Make e cria pedido de venda com dados fiscais do cliente.,,,
Pagamento,Implementar Make / n8n — Orquestra: Shopify order.paid → Bling criar pedido → Melhor Envio gerar etiqueta.,,,
Operações,Implementar Bling ERP — Emite NF-e automaticamente com dados fiscais do cliente. Baixa o estoque do SKU correspondente.,,,
Operações,Implementar Melhor Envio — Gera etiqueta da transportadora com melhor custo-prazo para o CEP destino. Retorna código de rastreio.,,,
Operações,Implementar Make / n8n — Scenario: Bling NF emitida → Melhor Envio etiqueta gerada → WhatsApp notificação ao cliente.,,,
Operações,Implementar WhatsApp Business API — Envia mensagem automática: 'Seu pedido #X está sendo preparado. Etiqueta gerada.',,,
Entrega,Implementar Melhor Envio / Transportadora — Atualiza status de rastreio em tempo real via webhook para o Bling.,,,
Entrega,"Implementar Bling ERP — Recebe atualizações de status: coletado, em trânsito, saiu para entrega, entregue.",,,
Entrega,Implementar Make / n8n — Scenario: Bling status_entregue → WhatsApp 'Pedido entregue!' → Klaviyo trigger LC9.,,,
Entrega,Implementar WhatsApp Business API — Envia notificações de status em cada etapa com código de rastreio.,,,
Review + NPS,Implementar Klaviyo — Trigger LC9: 7 dias após entrega → email de NPS com link para avaliação no Judge.me.,,,
Review + NPS,Implementar Judge.me — Coleta e publica review no produto. Dispara webhook review_created para MAAT Virtual.,,,
Review + NPS,Implementar WhatsApp Business API — Mensagem complementar de solicitação de review 3 dias após o email.,,,
Review + NPS,Implementar Pipedrive — Cliente com NPS ≥ 8 recebe tag promotor. Entra em pipeline de convite para embaixadores.,,,
Nutrição + Recompra,"Implementar Klaviyo — LC3 (cliente ativo): sequência de conteúdo sobre agrofloresta, receitas e ritual MAAT. LC7 (reativação): disparo após 90 dias sem nova compra.",,,
Nutrição + Recompra,Implementar Pipedrive — Pipeline de recompra: D+30 pós-entrega → ligação/WA para B2B. D+25 para PF via automação.,,,
Nutrição + Recompra,Implementar Social Snowball — Clientes com alto LTV recebem convite automático para programa de embaixadores.,,,
Nutrição + Recompra,Implementar Make / n8n — Scenario de recompra: Pipedrive deal_lost → Klaviyo reativação → WA mensagem personalizada.,,,
